0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-16.800000,-16.800000,-16.800000,-16.800000,-16.600000,0.000000,0.000000,0.000000,0.000000,0.000000
-16.600000,-16.800000,-16.600000,-16.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-16.400000,-16.600000,-16.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-16.400000,-16.200000,0.000000,0.000000,0.000000,0.000000,0.000000,-16.000000,0.000000,0.000000
-16.200000,-15.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-15.800000,-16.000000,-15.800000,-15.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-15.600000,-15.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-15.800000,-15.400000,-15.200000,0.000000,0.000000,0.000000,-15.400000,0.000000,0.000000,0.000000
-15.400000,-15.200000,-15.200000,-15.000000,-15.200000,-14.800000,0.000000,-15.200000,0.000000,-15.200000
-15.200000,-15.000000,-15.200000,-15.000000,-15.000000,-14.800000,0.000000,0.000000,0.000000,0.000000
-15.000000,-15.000000,-14.800000,-14.600000,-14.600000,0.000000,0.000000,0.000000,0.000000,0.000000
-14.800000,-14.600000,-14.800000,-14.600000,-14.600000,-14.400000,-14.400000,0.000000,0.000000,0.000000
-14.600000,-14.600000,-14.200000,-14.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-14.400000,-14.200000,-14.200000,-14.200000,-14.200000,-14.000000,-14.000000,0.000000,0.000000,0.000000
-14.400000,-14.000000,-14.200000,-14.000000,-13.800000,-13.800000,0.000000,0.000000,0.000000,0.000000
-14.000000,-14.000000,-13.800000,-13.800000,-13.600000,0.000000,0.000000,0.000000,0.000000,-13.600000
-25.820000,-13.800000,-13.600000,-13.600000,-13.600000,-13.600000,-13.400000,-13.600000,-13.200000,0.000000
-13.600000,-13.600000,-13.400000,-13.400000,-13.600000,-13.400000,-13.200000,-13.400000,-13.200000,0.000000
-13.400000,-13.400000,-13.400000,-13.000000,-13.000000,-13.000000,0.000000,0.000000,0.000000,0.000000
-13.200000,-13.000000,-13.200000,-12.800000,-12.800000,-12.600000,0.000000,0.000000,0.000000,0.000000
-13.000000,-12.800000,-13.200000,-13.000000,-12.800000,-12.600000,-12.600000,0.000000,0.000000,0.000000
-12.800000,-12.600000,-12.800000,-12.600000,-12.400000,-12.800000,-12.400000,-12.400000,0.000000,0.000000
-12.600000,-12.400000,-12.400000,-12.600000,-12.400000,-12.200000,-12.200000,-12.200000,0.000000,0.000000
-12.600000,-23.160000,-12.200000,-12.400000,-12.200000,-12.000000,0.000000,-11.800000,0.000000,0.000000
-12.200000,-12.000000,-12.200000,-12.000000,-12.000000,-12.000000,-12.000000,-11.800000,-11.800000,0.000000
-12.200000,-11.800000,-11.800000,-12.000000,-11.600000,-11.600000,0.000000,0.000000,0.000000,-11.600000
-12.000000,-11.800000,-11.600000,-11.600000,-11.800000,-11.400000,-11.400000,0.000000,0.000000,-11.200000
-11.600000,-11.600000,-11.400000,-11.600000,-11.200000,-11.000000,0.000000,0.000000,0.000000,0.000000
-11.400000,-11.200000,-11.400000,-20.900000,0.000000,0.000000,0.000000,-11.200000,0.000000,-11.200000
-11.400000,-11.200000,-20.680000,-10.800000,-10.800000,-11.436000,0.000000,0.000000,0.000000,0.000000
-11.000000,-11.000000,-10.800000,-10.800000,-10.800000,-10.800000,-10.800000,-28.726000,-10.800000,-11.000000
-10.800000,-11.000000,-10.800000,-20.120000,-10.400000,-10.600000,-19.760000,0.000000,0.000000,0.000000
-10.600000,-10.600000,-10.600000,-10.600000,-10.200000,-27.642000,0.000000,0.000000,0.000000,0.000000
-10.200000,-10.400000,-10.400000,-10.400000,-10.400000,-10.200000,-10.000000,-28.305480,-10.588000,0.000000
-10.200000,-10.200000,-18.620000,-18.800000,-10.000000,-10.000000,-9.800000,-19.176000,-10.000000,-10.176000
