state,joint_action,q
A0:11:1:1|A1:4:6:1|A2:8:1:1|A3:9:4:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,2,2,0",0.0
A0:11:1:1|A1:4:6:1|A2:8:1:1|A3:9:4:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,3,0,0",0.0
A0:11:1:1|A1:4:6:1|A2:8:1:1|A3:9:4:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,1,0,1",0.0
A0:11:1:1|A1:4:6:1|A2:8:1:1|A3:9:4:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,2,1,3",0.0
A0:11:1:1|A1:4:6:1|A2:8:1:1|A3:9:4:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,0,0,3",0.0
A0:11:1:1|A1:4:6:1|A2:8:1:1|A3:9:4:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,3,3,2",0.0
A0:11:1:1|A1:4:6:1|A2:8:2:1|A3:9:4:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,1,1,3",0.0
A0:11:0:1|A1:5:6:1|A2:8:2:1|A3:9:5:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,1,1,2",0.0
A0:11:0:1|A1:5:6:1|A2:8:2:1|A3:9:5:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,0,0,1",0.0
A0:11:0:1|A1:5:6:1|A2:8:2:1|A3:9:5:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,1,3,1",0.0
A0:11:0:1|A1:5:6:1|A2:8:2:1|A3:9:5:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,1,2,1",0.0
A0:11:0:1|A1:5:6:1|A2:8:2:1|A3:9:5:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,2,1,2",0.0
A0:11:0:1|A1:5:6:1|A2:8:2:1|A3:9:5:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,0,1,0",0.0
A0:11:0:1|A1:5:6:1|A2:8:2:1|A3:9:5:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,2,2,2",0.0
A0:11:0:1|A1:5:6:1|A2:8:2:1|A3:9:5:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,0,3,2",0.0
A0:11:0:1|A1:5:6:1|A2:8:2:1|A3:9:5:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,3,2,1",0.0
A0:11:0:1|A1:5:6:1|A2:8:2:1|A3:9:5:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,1,3,1",0.0
A0:11:0:1|A1:5:6:1|A2:8:1:1|A3:9:5:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,3,1,2",0.0
A0:11:1:1|A1:5:7:1|A2:8:1:1|A3:9:6:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,0,0,2",0.0
A0:11:1:1|A1:5:7:1|A2:8:1:1|A3:9:6:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,3,3,3",0.0
A0:11:1:1|A1:5:7:1|A2:8:1:1|A3:9:6:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,2,0,2",0.0
A0:11:1:1|A1:5:7:1|A2:8:1:1|A3:9:6:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,3,1,1",0.0
A0:11:1:1|A1:5:7:1|A2:8:1:1|A3:9:6:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,3,2,2",0.0
A0:11:1:1|A1:5:7:1|A2:8:1:1|A3:9:6:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,1,1,0",0.0
A0:11:1:1|A1:5:7:1|A2:8:1:1|A3:9:6:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,0,2,1",0.0
A0:11:1:1|A1:5:7:1|A2:8:1:1|A3:9:6:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,3,3,0",0.0
A0:11:1:1|A1:5:7:1|A2:8:1:1|A3:9:6:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,3,0,0",0.0
A0:11:1:1|A1:5:7:1|A2:8:1:1|A3:9:6:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,3,0,2",0.0
A0:11:1:1|A1:5:7:1|A2:8:1:1|A3:9:6:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,3,3,1",0.0
A0:11:0:1|A1:5:6:1|A2:8:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,2,0,3",0.0
A0:11:0:1|A1:5:6:1|A2:8:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,3,2,2",0.0
A0:11:0:1|A1:5:6:1|A2:8:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,2,0,2",0.0
A0:11:0:1|A1:5:6:1|A2:8:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,1,0,1",0.0
A0:11:0:1|A1:5:6:1|A2:8:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,3,0,1",0.0
A0:11:0:1|A1:5:6:1|A2:8:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,2,3,0",0.0
A0:11:0:1|A1:5:6:1|A2:8:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,3,1,0",0.0
A0:11:0:1|A1:5:6:1|A2:8:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,1,2,1",0.0
A0:11:0:1|A1:5:6:1|A2:8:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,0,1,0",0.0
A0:11:0:1|A1:5:6:1|A2:8:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,0,0,2",0.0
A0:10:0:1|A1:4:6:1|A2:9:0:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,1,3,1",0.0
A0:10:0:1|A1:4:6:1|A2:9:0:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,0,1,3",0.0
A0:10:0:1|A1:4:6:1|A2:9:0:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,1,1,2",0.0
A0:10:0:1|A1:4:6:1|A2:9:0:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,2,2,3",0.0
A0:10:0:1|A1:4:6:1|A2:9:0:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,3,3,3",0.0
A0:10:0:1|A1:4:6:1|A2:9:0:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,0,1,0",0.0
A0:10:0:1|A1:4:6:1|A2:9:0:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,1,2,3",0.0
A0:10:0:1|A1:4:6:1|A2:9:0:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,0,1,0",0.0
A0:10:0:1|A1:4:6:1|A2:9:0:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,1,3,1",0.0
A0:10:0:1|A1:4:6:1|A2:9:0:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,0,1,0",0.0
A0:10:0:1|A1:4:6:1|A2:9:0:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,2,1,1",0.0
A0:10:1:1|A1:4:7:1|A2:8:0:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,3,0,0",0.0
A0:10:1:1|A1:4:7:1|A2:8:0:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,0,3,0",0.0
A0:10:1:1|A1:4:7:1|A2:8:0:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,3,3,0",0.0
A0:10:1:1|A1:4:7:1|A2:8:0:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,3,2,3",0.0
A0:10:1:1|A1:4:7:1|A2:8:0:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,0,0,3",0.0
A0:10:1:1|A1:4:7:1|A2:8:0:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,2,1,3",0.0
A0:10:1:1|A1:4:7:1|A2:8:0:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,0,2,0",0.0
A0:10:1:1|A1:4:7:1|A2:8:0:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,1,2,2",0.0
A0:10:1:1|A1:4:7:1|A2:8:0:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,0,2,3",0.0
A0:10:1:1|A1:3:7:1|A2:8:0:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,0,0,2",0.0
A0:10:0:1|A1:3:7:1|A2:8:1:1|A3:11:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,0,3,1",0.0
A0:10:0:1|A1:3:7:1|A2:8:1:1|A3:11:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,2,2,2",0.0
A0:10:0:1|A1:3:7:1|A2:8:1:1|A3:11:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,2,1,0",0.0
A0:10:0:1|A1:3:7:1|A2:8:1:1|A3:11:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,3,1,2",0.0
A0:10:0:1|A1:3:7:1|A2:8:1:1|A3:11:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,0,1,0",0.0
A0:10:0:1|A1:3:7:1|A2:8:1:1|A3:11:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,1,2,0",0.0
A0:10:0:1|A1:3:7:1|A2:8:1:1|A3:11:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,1,2,2",0.0
A0:10:0:1|A1:3:7:1|A2:8:1:1|A3:11:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,0,2,0",0.0
A0:10:0:1|A1:3:7:1|A2:8:1:1|A3:11:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,2,2,0",0.0
A0:10:0:1|A1:3:7:1|A2:8:1:1|A3:11:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,1,0,0",0.0
A0:10:0:1|A1:3:7:1|A2:8:1:1|A3:11:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,2,0,0",0.0
A0:10:1:1|A1:3:6:1|A2:7:1:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,0,1,2",0.0
A0:10:1:1|A1:3:6:1|A2:7:1:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,3,3,3",0.0
A0:10:1:1|A1:3:6:1|A2:7:1:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,1,3,1",0.0
A0:10:1:1|A1:3:6:1|A2:7:1:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,3,1,0",0.0
A0:10:1:1|A1:3:6:1|A2:7:1:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,2,1,1",0.0
A0:10:1:1|A1:3:6:1|A2:7:1:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,2,3,1",0.0
A0:10:1:1|A1:3:6:1|A2:7:1:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,3,1,2",0.0
A0:10:1:1|A1:3:6:1|A2:7:1:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,0,0,2",0.0
A0:10:1:1|A1:3:6:1|A2:7:1:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,2,3,2",0.0
A0:10:1:1|A1:3:6:1|A2:7:1:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,3,3,1",0.0
A0:10:1:1|A1:2:6:1|A2:7:1:1|A3:10:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,3,1,3",0.0
A0:10:0:1|A1:2:6:1|A2:8:1:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,1,0,1",0.0
A0:10:0:1|A1:2:6:1|A2:8:1:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,0,0,3",0.0
A0:10:0:1|A1:2:6:1|A2:8:1:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,1,2,2",0.0
A0:10:0:1|A1:2:6:1|A2:8:1:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,1,0,0",0.0
A0:10:0:1|A1:2:6:1|A2:8:1:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,2,1,3",0.0
A0:10:0:1|A1:2:6:1|A2:8:1:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,3,2,2",0.0
A0:10:0:1|A1:2:6:1|A2:8:1:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,3,2,3",0.0
A0:10:0:1|A1:2:6:1|A2:8:1:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,3,0,2",0.0
A0:10:0:1|A1:2:6:1|A2:8:1:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,1,0,3",0.0
A0:10:0:1|A1:1:6:1|A2:8:1:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,1,0,3",0.0
A0:11:0:1|A1:1:6:1|A2:8:0:1|A3:11:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,2,2,3",0.0
A0:11:0:1|A1:1:6:1|A2:8:0:1|A3:11:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,2,0,0",0.0
A0:11:0:1|A1:1:6:1|A2:8:0:1|A3:11:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,1,1,0",0.0
A0:11:0:1|A1:1:6:1|A2:8:0:1|A3:11:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,0,3,0",0.0
A0:11:0:1|A1:1:6:1|A2:8:0:1|A3:11:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,2,2,1",0.0
A0:11:0:1|A1:1:6:1|A2:8:0:1|A3:11:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,3,2,2",0.0
A0:11:0:1|A1:1:6:1|A2:8:0:1|A3:11:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,3,0,2",0.0
A0:11:0:1|A1:1:6:1|A2:8:0:1|A3:11:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,0,3,1",0.0
A0:11:0:1|A1:1:6:1|A2:8:0:1|A3:11:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,2,0,1",0.0
A0:11:0:1|A1:1:6:1|A2:8:0:1|A3:11:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,2,3,0",0.0
A0:11:0:1|A1:2:6:1|A2:8:0:1|A3:11:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,1,0,2",0.0
A0:10:0:1|A1:2:6:1|A2:7:0:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,3,2,2",0.0
A0:10:0:1|A1:2:6:1|A2:7:0:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,3,2,0",0.0
A0:10:0:1|A1:2:6:1|A2:7:0:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,1,3,3",0.0
A0:10:0:1|A1:2:6:1|A2:7:0:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,3,2,2",0.0
A0:10:0:1|A1:2:6:1|A2:7:0:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,2,1,1",0.0
A0:10:0:1|A1:2:6:1|A2:7:0:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,3,2,2",0.0
A0:10:0:1|A1:2:6:1|A2:7:0:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,2,3,0",0.0
A0:10:0:1|A1:2:6:1|A2:7:0:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,3,1,3",0.0
A0:10:0:1|A1:2:6:1|A2:7:0:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,0,1,0",0.0
A0:10:0:1|A1:2:6:1|A2:7:0:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,1,0,3",0.0
A0:10:0:1|A1:3:6:1|A2:7:0:1|A3:10:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,2,0,2",0.0
A0:10:1:1|A1:3:6:1|A2:6:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,2,0,3",0.0
A0:10:1:1|A1:3:6:1|A2:6:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,0,2,3",0.0
A0:10:1:1|A1:3:6:1|A2:6:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,1,0,0",0.0
A0:10:1:1|A1:3:6:1|A2:6:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,1,0,0",0.0
A0:10:1:1|A1:3:6:1|A2:6:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,0,1,0",0.0
A0:10:1:1|A1:3:6:1|A2:6:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,3,0,0",0.0
A0:10:1:1|A1:3:6:1|A2:6:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,0,3,2",0.0
A0:10:1:1|A1:3:6:1|A2:6:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,3,2,2",0.0
A0:10:1:1|A1:3:6:1|A2:6:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,1,3,3",0.0
A0:10:1:1|A1:3:6:1|A2:6:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,1,1,1",0.0
A0:10:2:1|A1:4:6:1|A2:6:0:1|A3:9:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,2,3,0",0.0
A0:10:2:1|A1:4:6:1|A2:6:1:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,0,0,2",0.0
A0:10:2:1|A1:4:6:1|A2:6:1:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,0,1,2",0.0
A0:10:2:1|A1:4:6:1|A2:6:1:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,3,1,1",0.0
A0:10:2:1|A1:4:6:1|A2:6:1:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,2,0,3",0.0
A0:10:2:1|A1:4:6:1|A2:6:1:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,2,3,2",0.0
A0:10:2:1|A1:4:6:1|A2:6:1:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,3,2,0",0.0
A0:10:2:1|A1:4:6:1|A2:6:1:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,2,3,2",0.0
A0:10:2:1|A1:4:6:1|A2:6:1:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,0,2,0",0.0
A0:10:2:1|A1:4:6:1|A2:6:1:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,1,0,1",0.0
A0:10:2:1|A1:4:6:1|A2:6:1:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,1,1,3",0.0
A0:10:2:1|A1:4:6:1|A2:6:1:1|A3:9:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,2,2,1",0.0
A0:11:2:1|A1:5:6:1|A2:5:1:1|A3:8:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,3,2,2",0.0
A0:11:2:1|A1:5:6:1|A2:5:1:1|A3:8:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,0,2,2",0.0
A0:11:2:1|A1:5:6:1|A2:5:1:1|A3:8:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,1,3,1",0.0
A0:11:2:1|A1:5:6:1|A2:5:1:1|A3:8:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,3,1,0",0.0
A0:11:2:1|A1:5:6:1|A2:5:1:1|A3:8:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,0,1,3",0.0
A0:11:2:1|A1:5:6:1|A2:5:1:1|A3:8:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"1,1,1,1",0.0
A0:11:2:1|A1:5:6:1|A2:5:1:1|A3:8:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,2,1,3",0.0
A0:11:2:1|A1:5:6:1|A2:5:1:1|A3:8:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,0,1,3",0.0
A0:11:2:1|A1:5:6:1|A2:5:1:1|A3:8:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,2,2,3",0.0
A0:11:2:1|A1:5:6:1|A2:5:1:1|A3:8:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,2,3,3",0.0
A0:11:1:1|A1:5:6:1|A2:5:1:1|A3:8:8:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"3,0,3,1",0.0
A0:11:1:1|A1:5:7:1|A2:5:0:1|A3:8:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"2,0,0,3",0.0
A0:11:1:1|A1:5:7:1|A2:5:0:1|A3:8:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,0,2,1",0.0
A0:11:1:1|A1:5:7:1|A2:5:0:1|A3:8:7:3$P4:5:5:2:0|P5:8:3:1:1|P6:2:7:3:0|P7:10:6:1:1,"0,3,0,1",0.0
